Full Name,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Position
Tochi Chukwuani,68,55,58,65,54,62,MID
Nnamdi Collins,85,25,40,48,59,67,DEF
Tyrese Shade,84,55,52,63,53,67,MID
Tomi Adeloye,76,60,46,61,29,67,ATK
Adam Chrzanowski,72,39,39,48,60,71,DEF
Steven Pabón,65,42,47,57,61,62,DEF
Dominik Prpić,66,26,36,45,60,70,DEF
Martin Šulek,63,23,34,42,62,66,DEF
Gianlucca Fatecha,64,58,59,58,49,56,MID
Gideon Mensah,75,32,46,53,60,72,DEF
Ange Chibozo,66,60,55,66,22,45,MID
Emeka Oduah,77,57,50,62,26,64,ATK
Aventis Aventisian,81,31,41,55,58,57,DEF
Shadrach Ogie,75,36,47,51,59,71,DEF
Casper Terho,72,58,56,62,25,50,MID
Min Jun Kim,73,55,57,61,28,62,MID
Nathan Ngoy,75,27,43,47,59,69,DEF
Xiuwei Zhang,78,54,57,62,61,65,MID
Julio Augusto Dabo,75,32,46,56,56,53,DEF
Ben Scholte,53,58,60,64,41,62,MID
Gonzalo Sánchez,59,61,45,61,23,62,ATK
Donald Love,69,35,54,60,56,66,DEF
Kostyantyn Vivcharenko,66,46,56,59,57,65,MID
Philip Rejnhold,72,33,48,51,58,73,DEF
Enzo Tchato,72,32,48,57,58,59,DEF
Caspar Jander,76,43,59,65,59,59,MID
Amay Caprice,70,39,44,53,57,49,DEF
Anton Skipper,65,31,45,46,60,69,DEF
Reece Hutchinson,72,30,52,59,56,58,DEF
Aylan Benyahia-Tani,61,63,48,64,23,37,ATK
Emiliano Vidart,65,60,63,57,59,53,MID
Mateusz Skrzypczak,53,34,46,41,60,74,DEF
Aidy White,66,55,56,60,58,58,DEF
César Valero Álvarez,58,46,60,59,60,54,MID
Leandro Fernandes da Cunha,71,52,60,67,53,64,MID
Ali Youssef,72,52,56,64,36,57,MID
Ibrahim Mahnashi,67,42,55,60,58,67,MID
Charlie Owens,59,50,61,64,52,61,MID
Dominik Piła,82,59,55,63,23,51,MID
Cristian Dumitru,75,57,53,65,40,52,MID
Roberto Carlos Ramírez,55,51,57,57,59,70,DEF
Anton Kade,74,54,54,64,25,41,MID
Logan Chalmers,77,55,56,63,20,51,MID
Ștefan Blănaru,73,59,56,59,24,64,ATK
Zachary Elbouzedi,82,53,56,63,35,55,MID
Donovan Wilson,78,59,47,61,22,60,ATK
Marco Camus Muñoz,70,54,58,62,32,51,MID
Elliot Bonds,65,49,57,58,57,72,MID
Tom White,63,53,58,62,57,68,MID
Moritz Heinrich,75,51,53,64,30,58,MID
Brennan Dickenson,70,57,57,62,56,76,MID
Francisco Perruzzi,52,40,52,54,61,63,MID
Piotr Samiec-Talar,78,58,53,61,29,58,ATK
Gustaf Lagerbielke,57,24,46,56,60,62,DEF
Carlos Beitia Cardos,63,47,57,63,46,57,MID
Sebastián Jaime,68,60,56,58,43,66,ATK
Jesper Isaksen,69,50,60,60,58,64,MID
José David Álvarez Adsuar,62,32,36,54,66,59,DEF
Yeferson Paz,72,51,54,59,56,71,DEF
Alassane Sidibe,64,47,60,61,53,57,MID
Melvin Ramusović,59,48,57,59,59,63,MID
Offrande Zanzala,69,59,46,58,29,73,ATK
Luke Gambin,68,55,57,65,46,42,MID
Lennert Hallaert,69,62,51,57,18,55,ATK
Paul Osew,82,45,52,62,55,59,DEF
Yang Liu,55,36,50,53,58,76,DEF
Brayann Pereira,72,33,53,64,56,47,DEF
Mansour Al Shammari,69,28,50,57,57,62,DEF
Alessandro Fiordaliso,74,32,44,60,58,61,DEF
Harry Lennon,64,29,42,49,60,69,DEF
Will Randall,77,55,54,62,40,54,MID
Dylan Perera Plasencia,69,56,60,68,48,47,MID
Idris El Mizouni,66,54,58,62,56,65,MID
In Soo Yu,69,57,57,63,55,63,MID
José Gómez,64,33,40,57,63,61,DEF
Hassan Al Jubairi,62,23,49,50,59,67,DEF
Xu Yang,54,58,53,57,28,70,ATK
Antonio Candela,77,43,52,57,58,61,DEF
Ben Old,76,51,57,67,43,61,MID
Ryan Spaulding,67,34,51,57,54,60,DEF
Anyelberth Vera,53,64,54,61,22,62,ATK
Nicolás Gudiño Castilla,59,31,43,45,61,54,DEF
Lucas Cano,67,60,44,60,30,67,ATK
Khaled Al Samiri,57,46,60,65,58,56,MID
Emir Tintiş,64,50,55,60,57,63,DEF
Víctor Blanco Sánchez,68,57,58,62,53,47,MID
Chinedu Ekene,68,58,47,58,26,70,ATK
Filip Bundgaard,68,49,55,64,36,52,MID
Innes Cameron,60,59,54,57,47,69,ATK
Mincheng Yuan,52,23,36,31,63,73,DEF
Nathan Delfouneso,64,57,58,62,29,53,ATK
Abduhamit Abdugheni,74,42,49,59,57,69,DEF
Ian Bermingham,53,50,55,56,58,67,DEF
Tino Danesi,65,59,57,60,60,47,MID
Mateusz Łęgowski,71,54,59,59,56,65,MID
Óscar Menéndez Carracedo,73,44,52,61,53,50,DEF
Ismet Lushaku,68,44,58,62,50,51,MID
David Vraciu,63,54,60,59,41,47,MID
Harmanjot Khabra,65,44,54,54,53,79,DEF
Yusuf Abdulazeez,76,58,45,58,17,63,ATK
Ernest Boahene,74,44,52,60,55,60,DEF
Tunde Owolabi,84,59,42,60,34,67,ATK
Kacper Tabiś,71,28,46,56,56,55,DEF
Tyrese Sinclair,83,58,53,60,29,52,MID
Dominik Stumberger,52,37,45,46,61,64,DEF
Aarón Rodrigues,63,56,60,58,57,64,MID
Connor Brown,68,37,50,59,56,69,DEF
Charles M'Mombwa,75,50,56,64,54,59,MID
Christos Kourfalidis,68,41,58,58,56,60,MID
Álvaro Mantilla Pérez,56,26,44,50,59,64,DEF
Guy Dahan,65,58,42,58,21,64,ATK
Nikola Djorić,55,25,39,38,59,68,DEF
Matthew Bondswell,78,31,51,55,56,60,DEF
Lewis Hall,66,49,62,63,56,54,MID
Leandro Antonetti,56,62,47,60,24,43,ATK
Blerim Krasniqi,69,59,41,61,18,67,ATK
Blake Bodily,71,54,58,62,53,52,MID
Zain Westbrooke,63,57,62,61,56,54,MID
Lawrence Ennali,79,58,51,64,27,48,ATK
Wilhelm Loeper,66,49,57,60,51,59,MID
Jiabao Wen,79,47,52,60,56,59,DEF
Kanji Okunuki,81,55,55,65,24,39,MID
Charlie Colkett,54,51,64,62,57,56,MID
Jake Young,78,60,42,59,24,62,ATK
Guillermo Rendón,69,44,54,58,54,59,DEF
Tomás Muro,64,56,56,63,31,48,MID
Darragh Markey,69,50,55,65,47,53,MID
Nicolai Brock-Madsen,50,57,46,54,31,73,ATK
José Racchumick,55,37,42,47,62,62,DEF
Kevin Parra,66,53,56,60,32,46,MID
Chinglensana Singh,70,26,41,49,58,74,DEF
Sondre Fosnæss Hanssen,56,30,44,47,60,63,DEF
Robin Østrøm,66,36,51,54,57,68,DEF
Akash Mishra,75,39,51,56,54,68,DEF
Sadik Fofana,65,45,54,57,59,64,DEF
Tim Latteier,68,57,58,65,54,61,MID
Leonardo Yánez,70,58,56,61,43,55,MID
Nikoloz Kutateladze,70,61,55,57,26,55,ATK
Jean-Mattéo Bahoya,63,59,55,65,38,51,MID
Lars Nieuwpoort,56,38,49,57,60,66,DEF
Barry Cotter,67,40,49,53,57,68,DEF
Antonio Foti,68,59,57,65,51,52,MID
Lamine Sy,79,29,47,55,55,53,DEF
Paul Lewis,65,56,57,59,54,74,MID
Marcel Lavinier,64,39,48,55,58,61,DEF
Kévin Boma,41,34,44,44,61,59,DEF
Edwin Schwarz,64,24,44,39,62,61,DEF
Harrison Neal,63,44,55,56,54,65,MID
Kwadwo Baah,85,55,51,63,31,56,MID
Steffen Eder,65,22,40,38,60,63,DEF
Floris Smand,58,29,35,34,62,60,DEF
Fredrik Flo,53,50,46,52,60,64,DEF
Ibrahima Cissé,61,23,44,42,60,63,DEF
Franklin Nyenetue,84,53,49,63,26,54,ATK
Corey Whelan,71,35,47,57,58,69,DEF
Armand Smrcka,65,61,59,61,59,59,MID
Jackson Ragen,62,23,38,35,60,72,DEF
Alessandro Mattioli,62,34,43,52,60,66,DEF
Paul Manske,68,51,58,59,28,64,MID
Gustavo Klismahn D Miranda,62,60,59,53,57,62,MID
Diego Orellana,68,49,60,62,57,66,MID
Cristian Cruz,66,57,55,60,54,51,MID
Paris Polykarpou,63,33,51,53,59,63,MID
Jacob Tratt,57,41,50,51,56,76,DEF
Raphael Assibey-Mensah,80,58,52,61,25,60,ATK
Alessandro Kräuchi,66,43,57,61,56,50,MID
Benjamin Acquah,71,46,61,56,56,55,MID
Ștefan Pănoiu,75,60,64,64,39,59,MID
Aristide Wam,63,41,52,55,59,65,DEF
Victor Blixt,72,40,55,55,55,55,DEF
Neill Byrne,45,26,38,47,59,71,DEF
Emin Bayram,54,31,45,45,63,54,DEF
Jelle Duin,44,63,46,56,26,66,ATK
Neil Farrugia,76,54,57,62,53,58,MID
Aleksa Vukanović,69,62,47,61,26,67,ATK
Mark Ellis,43,30,43,45,59,65,DEF
Josh March,71,58,46,60,20,65,ATK
Anthony Uzodimma,59,55,56,64,56,61,MID
Kerr McInroy,53,60,59,56,56,67,MID
Gustavo Filipe Azevedo Sá,55,56,60,65,52,57,MID
Valentin Coșereanu,66,55,53,61,30,69,ATK
Hussain Al Eissa,82,49,52,61,43,59,MID
Max Melbourne,68,31,46,55,58,70,DEF
Bo Kyung Choi,52,39,52,51,60,64,DEF
Josh Brooking,59,32,37,42,62,61,DEF
David Cawley,49,54,57,59,56,66,MID
Phillip Cancar,72,23,42,42,59,68,DEF
Giannis Sardelis,72,55,56,65,36,50,MID
George Campbell,59,25,38,42,58,71,DEF
Axel Lindahl,73,48,57,68,52,57,MID
Salih Kavrazlı,66,63,50,61,21,53,ATK
Samed Onur,67,60,60,64,29,42,MID
Moonga Simba,80,54,53,64,29,63,MID
Byung Hyun Park,66,28,47,42,59,69,DEF
Keanin Ayer,75,46,56,60,52,53,MID
Sam Graham,69,27,38,44,60,71,DEF
Patryk Zaucha,80,53,55,60,24,50,MID
Raúl Arias Arias,60,65,45,58,24,50,ATK
Jeison Mina,59,24,36,42,61,66,DEF
Adrien Perez,63,57,55,63,25,55,ATK
Gerard Yepes Laut,64,54,61,64,50,43,MID
Santiago Castro,62,60,44,62,31,61,ATK
Tobi Sho-Silva,76,56,43,58,24,69,ATK
Pau Casadesús Castro,62,32,40,55,61,53,DEF
Mai Traore,74,58,45,58,19,58,ATK
Abdoulaye Ndiaye,61,30,41,44,59,65,DEF
Marcus Hannesbo,75,52,50,62,54,60,MID
Kasey McAteer,77,55,57,60,46,53,MID
Hassan Al Shamrani,58,32,45,48,59,68,DEF
Yannick Marchand,59,44,58,58,58,59,MID
Alex Forés Mendoza,63,60,44,54,36,54,ATK
Nasser Al Omran,66,50,61,64,59,53,MID
Josef Brian Baccay,77,43,53,60,53,59,DEF
Ross Graham,53,31,42,48,63,56,DEF
Lasse Nordås,74,57,45,57,25,66,ATK
Eric Ahumada,69,22,29,33,59,69,DEF
Charlie Kelman,81,61,45,63,26,60,ATK
Tobias Mißner,76,33,49,56,53,61,DEF
Tawanda Maswanhise,76,63,56,62,28,49,MID
Niccolò Pierozzi,67,52,53,60,37,55,MID
Daniels Ontužāns,71,51,53,64,30,55,MID
Matthew Dennis,85,57,45,62,39,63,ATK
Mohamed Achi,65,48,58,65,52,48,MID
Ali Suljic,56,28,38,40,60,66,DEF
Tom Eastman,42,35,48,45,60,72,DEF
Brandon Fernandes,76,47,59,62,36,50,MID
Rassambek Akhmatov,65,39,54,59,56,56,MID
Adrián Alcaraz,73,59,48,62,17,44,ATK
Brayan Medina,53,29,50,48,62,57,DEF
Cihan Çanak,80,50,56,63,36,48,MID
Ryan Rydel,75,53,54,58,52,56,DEF
Yazeed Al Bakr,76,27,49,60,55,58,DEF
Cameron John,73,34,49,56,59,67,DEF
Antonio Marchena Millán,60,49,56,58,46,56,MID
Seriton Fernandes,72,32,46,51,55,73,DEF
Nachon Nsingi,80,62,51,64,25,54,ATK
Abdulkarim Al Qahtani,71,58,58,63,40,54,ATK
Daniel Bîrligea,73,58,43,60,19,62,ATK
Leandro Espejo,72,58,51,65,28,45,MID
Max Thompson,65,61,48,58,26,53,ATK
Jordan O'Doherty,75,56,56,66,58,65,MID
Doğan Can Davas,62,51,59,64,38,42,MID
Jack Moylan,69,59,56,61,46,62,MID
Santeri Väänänen,71,47,55,64,56,66,MID
Joon Beom Kim,71,46,56,64,51,64,MID
Danny Rose,72,58,52,62,43,67,ATK
Conor Levingston,55,55,55,55,57,65,MID
Noah Söderberg,65,49,56,59,55,61,MID
Alberto Olaru,80,41,55,56,53,61,DEF
Martin Remacle,63,55,59,64,55,63,MID
Mikkel Juhl Andersen,76,54,55,59,53,65,MID
Lucas Halangk,73,49,53,56,55,61,DEF
Luke Matheson,73,37,52,59,54,53,DEF
Alexander Ammitzbøll,81,57,45,61,27,64,ATK
Haiqing Cao,65,38,42,56,58,57,DEF
Tommy Smith,47,37,50,51,59,71,DEF
Mohammed Tahiri,74,59,51,62,27,51,MID
Abdullah Hawsawi,67,34,47,53,57,66,DEF
Chris Gloster,70,39,52,60,55,67,DEF
Cameron Dummigan,64,42,56,57,58,62,MID
Pedro Ortiz Bernat,62,56,53,59,49,58,MID
Youssuf Sylla,77,58,46,63,21,66,ATK
Linus Rosenlöcher,76,45,49,57,55,67,DEF
Fabio Markelic,54,48,59,63,53,47,MID
Qiuming Wang,76,54,57,60,52,68,MID
Peter Makrillos,57,49,56,59,57,64,MID
Mohammed Majrashi,66,57,49,59,23,73,ATK
Elio Salazar,63,55,60,61,50,59,MID
Tyreik Wright,83,54,55,61,33,44,MID
Max Cleworth,67,25,39,48,59,69,DEF
Robin Ungerath,66,61,40,56,23,61,ATK
Shady Oukhadda,68,34,44,54,56,67,DEF
Raymond Owusu,67,59,50,65,27,51,ATK
Abdoulaye Cissoko,59,41,39,46,60,68,DEF
Dinghao Yan,66,59,57,60,56,64,MID
Dioggo Isita,70,54,56,60,44,54,MID
Jean Hugonet,41,31,43,43,58,67,DEF
Sebastian Tounekti,75,53,53,64,25,48,MID
Fabrice Hartmann,76,64,48,63,24,46,ATK
Diego Vicente Bri Carrazoni,55,56,59,64,24,30,MID
Mark Shelton,66,54,58,61,58,71,MID
Tim Walbrecht,69,35,50,55,62,61,DEF
Gustavo Nnachi,73,51,54,59,26,48,MID
Daniel Svensson,77,42,53,60,53,59,DEF
Hamad Al Jayzani,76,40,49,54,52,69,DEF
Joider Micolta,71,53,53,63,24,50,MID
Mohammed Ahmed,67,41,49,57,60,66,DEF
Djenahro Nunumete,65,50,64,65,54,48,MID
Colin Rösler,65,30,40,51,60,63,DEF
Alan Minda,78,52,48,65,22,51,MID
Ciaran Kelly,36,34,48,50,59,69,DEF
Ben Azubel,62,61,40,59,18,57,ATK
Madyen El Jaouhari,59,56,59,61,50,53,MID
Juan Ramón Cáceres,55,55,55,60,51,62,MID
Nelson Weiper,59,61,43,57,21,64,ATK
Bin Gu,58,50,58,60,43,52,MID
Maxim Gullit,58,34,47,52,61,66,DEF
Jhon Solís,64,57,57,61,59,58,MID
Christian Acella,67,56,62,65,44,45,MID
Ian Henderson,43,62,56,60,36,62,ATK
Deandre Kerr,78,59,52,60,47,71,ATK
Lewis Warrington,66,51,58,62,54,56,MID
Ollie Tanner,78,57,51,63,23,52,MID
Hakim Guenouche,84,31,48,65,51,52,DEF
Mohammed Al Sahli,76,54,54,62,39,53,MID
Kristoffer Khazeni,76,57,62,63,45,63,MID
James Balagizi,76,59,59,64,46,65,MID
Alaa Al Hajji,66,56,59,62,51,58,MID
Alfie Devine,64,55,58,60,51,55,ATK
Mattia Pagliuca,63,59,52,61,22,58,ATK
Falko Michel,55,42,47,58,62,67,DEF
Paddy Kirk,59,41,48,56,56,66,DEF
Mohamed Toure,90,56,50,62,30,68,ATK
Saël Kumbedi,80,42,52,61,52,57,DEF
Javier Nicolas Vallejo,70,55,58,62,42,52,MID
Óskar Sverrisson,66,48,46,56,58,67,DEF
Alex Murphy,54,34,51,51,59,66,DEF
Jesse Daley,66,44,58,64,48,57,MID
Michael Kostka,80,40,54,55,56,57,DEF
Tate Schmitt,67,61,49,63,44,65,ATK
Tommaso Cassandro,59,38,47,55,60,63,DEF
Vinicius Silveira de Mello,67,57,37,65,22,54,ATK
Naif Hazazi,36,46,53,52,60,71,DEF
Rune Paeshuyse,66,29,48,53,56,61,DEF
Leonardo Daniel Ulineia Buta,72,45,52,60,56,64,MID
Harry Clifton,70,50,54,59,56,68,MID
Ben Whitfield,82,55,53,63,36,47,MID
Hyuk Jin Jang,76,52,64,58,49,66,MID
Mohammed Al Baqawi,72,28,53,55,57,62,DEF
Shuai Pei,72,45,53,51,58,70,DEF
Nazareno Funez,53,59,46,59,21,59,ATK
Ismajl Beka,65,37,36,36,60,71,DEF
Julian Dunn,50,26,34,39,56,79,DEF
Lalengmawia Ralte,65,47,51,61,56,73,MID
Guillaume Furrer,63,60,52,61,24,53,ATK
Quilindschy Hartman,71,39,51,51,57,63,DEF
Eros Dacaj,54,56,65,63,48,60,MID
Noble Okello,72,44,53,58,55,75,DEF
Sebastian Jarl,58,37,55,56,58,69,DEF
Alberto Dossena,46,32,36,41,62,69,DEF
Samuel Ballet,70,59,50,61,22,70,ATK
Connor Barron,66,47,53,58,57,57,MID
Ben Knight,69,57,52,68,28,43,MID
Leo Cornic,75,36,55,59,54,52,DEF
Abdullah Al Yousef,73,45,53,57,55,59,DEF
Lenny Rodrigues,68,46,54,56,55,69,MID
Dylan Demuynck,74,52,52,67,29,39,MID
Luke Cundle,66,56,61,61,51,45,MID
Edwin Valencia,58,62,54,58,24,55,ATK
Mohamed Belhadj Mahmoud,67,47,59,60,55,66,MID
Tyler Onyango,57,46,59,56,53,65,MID
Sofyan Chader,70,50,54,70,21,38,MID
Vontae Daley-Campbell,69,40,50,55,55,69,DEF
Fahad Ghazi,69,26,47,56,58,65,DEF
Alassana Jatta,53,57,47,59,28,62,ATK
Matthieu Sans,30,35,49,38,61,64,DEF
Xin Luo,58,48,54,56,58,70,DEF
Samuel Nongoh,89,56,52,66,30,37,MID
Oliver Fobassam,54,31,38,43,59,72,DEF
Andrei Dragu,83,47,53,62,52,58,MID
Jonathan Grounds,49,41,53,54,58,69,DEF
Rodrigo Alonso Martín,62,53,63,61,47,44,MID
Derry Scherhant,67,59,51,62,23,56,ATK
Dane Murray,70,33,48,59,59,65,DEF
Julian Eseiza,61,33,48,54,60,63,DEF
Waleed Hezam Al Anazi,56,52,60,62,55,65,MID
Carlos Romero Serrano,61,47,56,52,57,57,DEF
Francisco Marco,59,29,36,40,61,70,DEF
Santiago Laquidain,64,27,41,44,60,68,DEF
Sebastian Grønning,68,59,50,59,26,67,ATK
Ezequiel Cannavó,69,51,59,61,47,53,MID
Tunahan Taşçı,76,54,54,62,30,48,MID
Yong Ji Park,79,55,56,59,22,45,ATK
Jan Sobociński,59,22,45,38,59,70,DEF
George Blackwood,64,59,51,58,44,69,ATK
Tolaji Bola,68,37,46,55,57,61,DEF
Saad Al Khayri,76,29,45,57,54,73,DEF
Ki Hun Yeom,33,60,67,60,42,48,MID
Ben Mines,68,45,56,62,45,52,MID
Joseph Rosales,67,44,56,64,47,57,MID
David Vogt,64,54,55,58,56,71,MID
Ronan Coughlan,71,58,53,60,24,65,ATK
Felix Schröter,70,60,49,62,28,57,ATK
Oliver Ross,68,60,54,63,30,57,MID
Paweł Żyra,71,49,59,62,56,68,MID
Matty Smith,72,59,53,62,35,67,ATK
Jonathan Barden,73,37,50,58,55,68,DEF
Hampus Näsström,53,34,49,47,58,71,DEF
Caleb Watts,62,54,59,63,50,54,MID
Lachlan Brook,75,49,56,63,35,49,MID
James Olayinka,75,60,58,64,47,55,MID
Alexandru Oroian,77,52,54,64,28,51,MID
Andy Williams,40,62,53,57,27,63,ATK
Max Mata,70,58,48,57,24,72,ATK
Maximilian Neuberger,64,31,48,49,59,66,DEF
Devante Rodney,81,59,51,61,24,63,ATK
Matty Dolan,51,55,62,61,59,66,MID
Declan Glass,70,56,60,64,46,50,MID
Aaron Zehnter,62,36,54,59,57,55,DEF
Eliton Júnior,63,48,61,62,28,55,MID
Victor Larsson,60,33,47,49,58,70,DEF
Henri Koudossou,56,50,61,56,48,59,MID
Xingyu Ma,59,43,53,56,61,70,MID
Ahmed Suhail,68,42,49,49,58,70,DEF
Kwang Sun Kwak,34,53,54,55,58,68,DEF
Daniel Vidal Martínez,64,51,61,60,61,55,MID
Joel Filipe Organista da Silva,70,51,59,58,51,67,MID
Antef Tsoungui,51,34,34,39,62,67,DEF
Liberman Torres,63,47,52,55,59,59,MID
Pedro Injai Gomes,59,27,37,40,61,68,DEF
Mamady Bangré,64,48,60,64,45,47,MID
Alejandro Balboa Bandeira,63,53,53,60,48,53,MID
Denis Tomic,75,60,55,60,19,45,ATK
Tomás Mendes Mendes,53,53,54,58,50,55,MID
Lewis Neilson,66,27,44,47,59,66,DEF
John Mayanga Nekadio,67,27,38,44,58,72,DEF
Kellan Gordon,78,49,53,58,54,63,DEF
Vladyslav Vanat,71,61,49,60,24,59,ATK
Andrei Patache,59,43,52,56,61,58,DEF
Tim Maciejewski,79,61,55,65,45,53,MID
Fahad Al Jumayah,74,55,61,62,52,53,MID
Luca Wollschläger,54,63,42,52,27,67,ATK
Jonathan Dubasin,71,54,58,62,30,53,MID
Josh Flint,73,44,53,56,57,56,DEF
Dejan Vokić,60,45,59,60,55,63,MID
Paya Pichkah,60,39,57,59,57,58,MID
Marvin De Lima,67,51,58,63,24,40,MID
George Timotheou,52,31,44,45,57,73,DEF
Walid Ould-Chikh,73,47,60,63,54,59,MID
Jamie Reid,76,60,49,59,20,68,ATK
Sonny Carey,63,53,59,59,36,56,MID
Ajdin Zeljkovic,73,57,52,61,28,55,ATK
Hugo Silva Oliveira,68,33,42,55,58,60,DEF
Mark Doyle,69,60,55,60,32,66,ATK
Sander Risan Mørk,67,52,61,61,53,60,MID
Iman Griffith,82,56,48,66,30,39,ATK
Quinn Sullivan,73,54,60,63,47,51,MID
Alfie Kilgour,57,39,42,51,59,70,DEF
Lawrence Nicholas,72,50,59,66,55,68,MID
Harry Brockbank,67,26,46,57,58,66,DEF
Ben Lhassine Kone,69,63,57,62,32,46,ATK
Georg Strauch,60,44,58,65,55,59,MID
Chongqiu Ye,66,54,58,48,57,67,MID
Diego Luna,77,58,46,71,27,65,ATK
Valentin Guillaume,65,54,59,59,55,71,MID
Barış Ekincier,82,57,57,61,40,50,MID
Yunqiu Li,71,47,51,58,54,64,DEF
Louis Torres,72,40,55,61,57,53,DEF
Ben Bobzien,60,56,53,67,29,42,MID
Juan González,69,44,57,58,48,52,MID
Laurin Ulrich,76,59,59,67,45,63,MID
Eduardo Oliveira Borges,55,29,35,40,63,63,DEF
Luca Stanga,56,34,39,39,62,61,DEF
Kaito Mizuta,69,59,52,68,29,50,MID
David Amoo,80,57,55,62,38,66,ATK
Al Hassan Toure,84,57,52,62,29,67,ATK
Kristall Máni Ingason,73,52,62,65,43,41,MID
Niccolò Corrado,65,27,46,59,58,57,DEF
Sanoussy Ba,74,34,52,64,53,48,DEF
Bilal Brahimi,70,48,57,64,32,49,MID
Mathías Martínez,62,48,59,59,37,52,MID
Clyde García,62,42,55,53,59,60,MID
Damir Ceter,43,62,35,51,33,68,ATK
Jay Mingi,71,46,55,63,55,71,MID
Oğuzhan Akgün,64,65,51,62,24,49,ATK
Ahmet Karademir,67,56,57,67,34,35,MID
Andre Reynolds II,74,29,52,59,55,58,DEF
Lucas Larade,64,25,48,49,58,69,DEF
Emmanuel Matuta,66,43,54,56,57,65,DEF
Takashi Uchino,70,31,43,59,58,59,DEF
Joseph Amoako,79,52,55,64,30,38,MID
Jamie McGonigle,67,61,54,59,25,55,ATK
Lorenzo Paramatti,48,21,36,41,60,64,DEF
Daniel González Flores,69,60,40,52,19,58,ATK
Marc Fernández Gracia,71,60,55,61,32,62,MID
Felix Brand,68,37,51,58,54,74,DEF
Marius Cioiu,72,57,57,61,37,56,MID
Mihai Lixandru,65,44,52,57,58,61,MID
Ross Tierney,74,55,56,60,54,62,MID
William Machado,58,50,59,59,58,65,MID
Owen Dodgson,66,42,54,58,56,61,DEF
Kyle Taylor,65,54,60,63,52,59,MID
William Agada,71,60,45,54,21,57,ATK
Patryk Peda,64,31,41,41,59,69,DEF
Johan Stenmark,62,29,49,50,56,75,DEF
Jorge Hernandez,63,59,60,63,40,56,MID
Fabio Chiarodia,66,33,48,55,61,59,DEF
Lewis Macari,57,34,51,51,59,57,DEF
Oskar Sewerzyński,60,39,52,54,56,71,DEF
Junior Ogedi-Uzokwe,82,60,52,61,35,58,ATK
Mohammed Al Qarni,56,50,54,55,58,69,MID
Trevor Clarke,80,51,57,62,54,60,MID
Stefan Škrbo,71,55,56,62,43,51,MID
Elias Löder,71,56,55,62,38,50,MID
Des Kunst,62,59,47,58,34,62,ATK
Robin Heußer,62,45,61,62,49,65,MID
Ryan Connolly,53,53,59,58,56,66,MID
Rafał Adamski,75,57,40,55,20,60,ATK
Leonhard von Schroetter,63,36,49,56,57,72,DEF
Jong-min Seo,73,48,56,65,38,55,MID
Orges Bunjaku,68,48,60,65,54,64,MID
Camilo Albornoz,51,44,57,55,59,61,DEF
Rahmetullah Berişbek,71,52,58,63,48,52,MID
Chris Merrie,64,52,56,57,57,64,MID
Noah Shawn Agbaje,68,49,56,59,26,46,MID
Ousoumane Camara,61,49,57,60,48,66,MID
Seong Wook Jin,71,56,49,65,25,72,ATK
Alejandro Pérez Castroviejo,73,58,52,65,33,47,MID
Matías González,64,48,59,64,49,38,MID
Conor Grant,74,54,58,62,55,55,MID
David Ungar,62,35,56,55,55,67,MID
Mohammed Al Ghamdi,74,34,48,51,57,70,DEF
Max Fenger,66,57,51,60,21,66,ATK
Dan Agyei,77,57,48,60,31,67,ATK
Ifunanyachi Achara,81,60,52,63,31,57,ATK
Jensen Weir,67,54,59,60,56,58,MID
Jon Nolan,60,57,59,63,55,58,MID
Seung Gyu Han,72,56,62,67,46,61,MID
Oscar Luigi Fraulo,75,54,58,63,52,62,MID
Patrick Wood,77,58,49,57,22,67,ATK
Nico Gordon,64,27,35,42,62,66,DEF
Paul Méliande,65,51,60,61,51,54,MID
Etienne Camara,64,45,53,58,59,66,DEF
Christian Franco,56,62,54,57,38,59,ATK
Pietro Rovaglia,71,58,49,50,29,65,ATK
Adam Ratajczyk,72,51,53,63,25,45,MID
Omar Jebali,61,24,39,43,60,62,DEF
Gaultiér Overman,79,33,42,51,56,60,DEF
Kieran Wallace,58,49,58,59,59,62,DEF
Jae Hwan Hwang,71,49,57,64,33,43,MID
Taha Altıkardeş,59,40,49,63,59,61,DEF
Daniel Toma,64,47,56,57,54,55,MID
Thomas Roberts,69,44,55,65,45,52,MID
Ole Enersen,80,45,55,63,46,54,MID
Herman Haugen,72,42,49,57,58,58,DEF
Nabilai Kibunguchy,57,34,44,51,58,67,DEF
Liston Colaco,80,59,51,62,19,59,MID
Andrea Oliveri,69,53,60,62,37,45,MID
Joshua Eze,60,42,56,59,59,58,MID
Rodrigo Delvalle,55,24,40,37,60,64,DEF
Daniel Wilmering,80,30,51,57,53,64,DEF
Ryan Stirk,71,51,57,60,57,66,MID
Oliver Sørensen,69,49,58,62,54,67,MID
Alex Juárez,65,54,59,63,61,50,MID
Erik Tobias Sandberg,59,34,43,52,58,68,DEF
Si Hoo Hong,81,59,56,64,29,58,MID
Sebastien Pineau,57,63,48,61,17,53,ATK
Yahya Kalley,72,33,46,57,55,60,DEF
Gary Moya,65,38,57,62,46,44,MID
Noah Sadiki,72,35,53,60,57,62,DEF
Brandon Comley,66,48,58,60,59,65,DEF
Will Fitzgerald,82,49,53,59,34,55,MID
